external_id,text,rating,source
11c37266-2a6b-4186-acba-4943bccad117,bestest 🤩,5.0,play_store
d4e10c77-bd98-477f-ba1c-99b2f9c34386,nice 👍,5.0,play_store
33e4158b-f7c3-4202-b635-f60c3b567488,address change kastama iruku,2.0,play_store
f84a9fa8-27c5-4b39-b166-19c5a2843465,v good,5.0,play_store
43723cf2-bd2f-485b-b712-9d077e3d7bd5,👍 Good,3.0,play_store
4f1668fd-4300-4674-ae82-aaa1d3ee7438,good,5.0,play_store
e3d974cc-2126-4182-b18f-e507461d3d13,l like free delivery,5.0,play_store
7ec86153-909d-438f-9c66-5ad4d82ce27c,"Service is unavailable on Jantar Mantar Road in Connaught Place, New Delhi. This app is the epitome of disappointment, and those behind it seem to have lost touch with what it means to be humane.",1.0,play_store
e2fbe958-e882-48bf-b974-0a8cb43cb2fe,o good,5.0,play_store
e8732977-42ef-46ff-beed-265acb963c17,good,4.0,play_store
1bc93bc8-dd84-4dcc-ba13-12a19bbf510f,Go for it!!!,5.0,play_store
f3340a94-5eea-4c46-871d-156703fef7c2,Everything is available with very affordable price,5.0,play_store
9e286df3-85c2-4f1b-934e-c0647719360c,very good working 👍😃 I am so happy for this work 😊😁,5.0,play_store
ae4a3017-1b22-4d97-be81-d21070593fae,good 👍,5.0,play_store
6d089fbd-0720-478e-af32-f61bfeba9a44,all good 👍,5.0,play_store
602c055b-ad4a-4d97-bc37-e81aba7d8f87,best,4.0,play_store
2a3e731c-a4a0-4ca9-865f-915c8e87e69c,price and quantities issue,1.0,play_store
ef5a7cf6-514c-4dd1-9b60-e4314c7b0049,good,5.0,play_store
1d961187-b330-417d-a845-b9d7885c14c8,good,3.0,play_store
17070ffa-57e0-43cd-a586-5aa8a44b8620,very good,5.0,play_store
288c91fa-d248-4872-ab1c-151da666f952,quick delivery nice delivery,5.0,play_store
acaa7f45-2333-4df0-8b59-2794ab3fc6c9,vary nice app,5.0,play_store
284189e9-ea4a-4727-a7c6-ec92b4760df3,"I have been using Blinkit for a long period now, today I am really happy to share my experience, I bought a watch from blinkit, but it was not working as I unboxed it, so I initiated a refund which was quick and in few minutes work, the delivery partner came soon and picked it and my refund was initiated, then I bought another brand but delivery guy got stuck because of his vehicle failure, instantly the blinkit support team (Mr Abhishek) helped and delivery was done so quick. really thanks 🙏",5.0,play_store
918b7794-594e-4dc3-9ed0-52b1f9a4ad65,good time delivery,5.0,play_store
0fc01f0c-12ec-41be-a692-e6a14fdd5319,offer details please,1.0,play_store
